date,n,coef,se,p
20260910,456,0.00042810972667495565,0.00018794642048372247,0.02273679326428805
20260911,456,0.0002616623374550988,0.00010022193897104226,0.009032306420590467
20260914,450,0.00035296032625953505,9.797438885062487e-05,0.00031507745085379736
20260915,456,-4.786779249167429e-06,7.327381114605991e-05,0.9479134173057845
20260916,456,-0.00013930161753616715,0.0003519393055264864,0.6922441069107909
