side,time_bucket,distance_bucket,tertile,mean,std,n_rows,n_anchors,measure
below,midday (60-180min),"(-0.001, 0.5]",mid,-0.0001117326068220432,0.00035473016577936857,12,12,A
below,midday (60-180min),"(-0.001, 0.5]",high,-0.0004196626342783449,0.0005253946887901011,32,32,A
below,midday (60-180min),"(0.5, 1.0]",low,-0.00010581711816484421,0.000837156091354889,6,6,A
below,midday (60-180min),"(0.5, 1.0]",mid,-2.2024381326553505e-05,0.0008815218773555542,10,10,A
below,midday (60-180min),"(0.5, 1.0]",high,4.66652804957699e-05,0.0008356635561585814,38,38,A
below,midday (60-180min),"(1.0, 1.5]",low,8.119068990349979e-06,0.0005632014660728926,11,11,A
below,midday (60-180min),"(1.0, 1.5]",mid,-0.00017830429800971598,0.0006033746787453713,29,29,A
below,midday (60-180min),"(1.0, 1.5]",high,-0.00022493318545808332,0.0006964735926051084,11,11,A
below,midday (60-180min),"(1.5, 2.0]",low,1.877948463609281e-06,0.0007412827378016527,13,13,A
below,midday (60-180min),"(1.5, 2.0]",mid,0.00015678157564225876,0.000883703188361796,31,31,A
below,midday (60-180min),"(1.5, 2.0]",high,-0.00018539503666823018,0.0010463786289506747,10,10,A
below,midday (60-180min),"(2.0, 3.01]",low,-3.712981152213294e-06,0.0006981428437475442,52,52,A
below,midday (60-180min),"(2.0, 3.01]",mid,-7.666533380442465e-05,0.0008408261422524015,50,50,A
below,midday (60-180min),"(2.0, 3.01]",high,-0.00016624880167862206,0.0006324601922014982,3,3,A
below,close (180min+),"(-0.001, 0.5]",low,-9.597830342236088e-05,0.0004603300703118249,5,5,A
below,close (180min+),"(-0.001, 0.5]",mid,-0.0004555671265460688,0.0006039038403101907,6,6,A
below,close (180min+),"(-0.001, 0.5]",high,-0.00019637890569261992,0.0005667940975667475,73,73,A
below,close (180min+),"(0.5, 1.0]",low,9.364235277555876e-06,0.0006326701402884231,9,9,A
below,close (180min+),"(0.5, 1.0]",mid,0.00017420701477775173,0.0004707886696561189,14,14,A
below,close (180min+),"(0.5, 1.0]",high,4.8780368747557e-05,0.0003625516997045666,63,63,A
below,close (180min+),"(1.0, 1.5]",low,-4.052235628859997e-05,0.0004333221520250227,11,11,A
below,close (180min+),"(1.0, 1.5]",mid,7.913433310103944e-06,0.0005770565018003214,46,46,A
below,close (180min+),"(1.0, 1.5]",high,-0.0001372319967534975,0.0007432370187381112,27,27,A
below,close (180min+),"(1.5, 2.0]",low,0.00015700657566939871,0.0005915897597813937,41,41,A
below,close (180min+),"(1.5, 2.0]",mid,7.732682128744739e-05,0.0005033321327277565,35,35,A
below,close (180min+),"(1.5, 2.0]",high,0.0001808904332769571,0.00042988385568437523,10,10,A
below,close (180min+),"(2.0, 3.01]",low,8.659559553881625e-05,0.0005150695778551913,128,128,A
below,close (180min+),"(2.0, 3.01]",mid,-4.175811706222255e-05,0.0009555475642367927,37,37,A
below,close (180min+),"(2.0, 3.01]",high,0.00010240511329991297,0.0005289111026958696,5,5,A
