date,n,n_anchor_clusters,coef,se,p
20260910,360,60,0.0014096983319041192,0.0007193618334655035,0.050036564228088345
20260911,366,61,0.0010178662433712514,0.00032844091581624185,0.0019411946319574532
20260914,366,61,0.001562455201946363,0.0004809533840523601,0.0011594897791743942
20260915,366,61,7.257496529590625e-05,0.0004999558766616456,0.8845823828783017
20260916,366,61,-0.001320903069294688,0.0020944077728633874,0.5282491619682621
