predictor,coef,se,p,r_squared,n
(baseline only),,,,0.042303380413089675,2274
log_C,0.00010334049332034209,3.5587975468146284e-05,0.0036865927547917276,0.044397024509495786,2274
log_A,0.00010239601028941068,3.8636005600345126e-05,0.008042645887020559,0.04418074780738168,2274
log_gamma_alone,0.0006595478363793673,0.00017926453992007287,0.00023397829478151205,0.04550593758437238,2274
