held_out,n,coef,se,p
20260910,1818,0.0001023457733722516,3.5291570057236365e-05,0.003731552318265095
20260911,1818,0.0001011093406203513,4.126131237250523e-05,0.014267242018735847
20260914,1824,7.13646076299165e-05,4.255665136582789e-05,0.09355579291843566
20260915,1818,0.00011504074123559606,4.046547845660815e-05,0.004470012938911514
20260916,1818,0.00021581305955906254,5.437955972876218e-05,7.228307328555342e-05
